Name,Label,Area,lat,lon,elev
Cabauw,CAB,Netherlands,51.9711,4.9267,0
Carpentras,CAR,France,44.083,5.059,100
Izana,IZA,Spain,28.3093,-16.4993,2373
Petrolina,PTR,Brazil,-9.068,-40.319,387
Sao_Martinho_da_Serra,SMS,Brazil,-29.4428,-53.8231,489
